CPSE_Name,Original_Material_Code,Original_Description,Specification,Normalized_Description,Extracted_Material_Type,Extracted_Material,Extracted_Grade,Extracted_Size,Extracted_Specification,Standard_Material_ID,Standardized_Material_Description,Match_Confidence,Match_Score,Match_Reason
ONGC,MAT-001,SS HEX-BOLT M10X50 MM!!!,,Stainless Steel HEX-BOLT M10 x 50 mm,Hexagonal Bolt,Stainless Steel,,M10 x 50 mm,,NMC-BOLT-00001,Stainless Steel Hexagonal Bolt M10 x 50 mm,HIGH,100.0,Same (Verified Canonical Entity)
BHEL,MAT-002,MS PLT 25MM THK IS 2062 BR 2500X10000MM,,Mild Steel PLT 25 mm Thickness IS 2062 BR 2500 x 10000 mm,Plate,Mild Steel,IS 2062 BR,2500 x 10000 mm,,NMC-PLT-00002,Mild Steel Plate 2500 x 10000 mm Grade IS 2062 BR,HIGH,100.0,Same (Verified Canonical Entity)
NTPC,MAT-003,"CS FLG WNRF 150# 4"" SCH 40 ASTM A105",,Carbon Steel FLG WNRF Class 150 4 inch SCH 40 ASTM A105,Weld Neck Raised Face Flange,Carbon Steel,ASTM A105 / A105,4 inch,Class 150 | SCH 40,NMC-FLG-00003,Carbon Steel Weld Neck Raised Face Flange 4 inch Grade ASTM A105 / A105 (Class 150 | SCH 40),HIGH,100.0,Same (Verified Canonical Entity)
IOCL,MAT-004,"BALL VLV 2"" 300# FLGD END BODY A216 WCB TRIM SS316",,BALL VLV 2 inch Class 300 FLGD END BODY Carbon Steel TRIM SS316,Ball Valve,Stainless Steel,SS316,2 inch,Class 300,NMC-VLV-00004,Stainless Steel Ball Valve 2 inch Grade SS316 (Class 300),HIGH,100.0,Same (Verified Canonical Entity)
GAIL,MAT-005,GI PIPE 50MM DIA CL-B CONFORMING TO IS:1239,,Galvanized Iron PIPE 50 mm Diameter CL-B CONFORMING TO IS:1239,Pipe,Galvanized Iron,CL-B,50 mm,,NMC-PIPE-00005,Galvanized Iron Pipe 50 mm Grade CL-B,HIGH,100.0,Same (Verified Canonical Entity)
SAIL,MAT-006,CU BUSBAR 50X10MM ELEC GRADE 99.9% PURITY,,Copper BUSBAR 50 x 10 mm ELEC GRADE 99.9 PURITY,Busbar,Copper,,50 x 10 mm,,NMC-BUS-00006,Copper Busbar 50 x 10 mm,HIGH,100.0,Same (Verified Canonical Entity)
ONGC,MAT-008,"GASKET SPIRAL WOUND 3"" 600# HOOP SS316",,GASKET SPIRAL WOUND 3 inch Class 600 HOOP SS316,Spiral Wound Gasket,Stainless Steel,SS316,3 inch,Class 600,NMC-GSK-00007,Stainless Steel Spiral Wound Gasket 3 inch Grade SS316 (Class 600),HIGH,100.0,Same (Verified Canonical Entity)
BHEL,MAT-009,COPPER CABLE 4 CORE 4SQMM XLPE INSULATED 1.1KV,,COPPER CABLE 4 Core x 4 sq mm XLPE INSULATED 1.1 kV,Cable,XLPE,,4 Core x 4 sq mm,1.1 kV,NMC-CABL-00008,XLPE Cable 4 Core x 4 sq mm (1.1 kV),HIGH,100.0,Same (Verified Canonical Entity)
IOCL,MAT-010,STAINLESS STEEL HEX NUT M12X1.75 MM,,STAINLESS STEEL HEX NUT M12 x 1.75 mm,Hexagonal Nut,Stainless Steel,,M12 x 1.75 mm,,NMC-NUT-00009,Stainless Steel Hexagonal Nut M12 x 1.75 mm,HIGH,100.0,Same (Verified Canonical Entity)
NTPC,MAT-007,DEEP GROOVE BALL BRG. NO. 6205-2RS1/C3,,DEEP GROOVE BALL BRG. NO. 6205-2RS1/C3,Deep Groove Ball Bearing,High Carbon Chromium Steel,,Bearing No. 6205-2RS1/C3,,REVIEW_REQUIRED,Deep Groove Ball Bearing 6205-2RS1/C3,REVIEW_REQUIRED,45.0,Potentially Same (Pending Validation: Bearing has specialized clearance/seal suffix (6205-2RS1/C3) requiring engineering validation)
