material_id,cpse_organization,material_description,category,unit_of_measure,storage_location
MAT-001,ONGC,SS HEX-BOLT M10X50 MM!!!,Fasteners,NOS,Mumbai-Yard-1
MAT-002,BHEL,MS PLT 25MM THK IS 2062 BR 2500X10000MM,Structural Steel,MTR,Bhopal-Store-B
MAT-003,NTPC,CS FLG WNRF 150# 4" SCH 40 ASTM A105,Piping & Fittings,PCS,Singrauli-Warehouse
MAT-004,IOCL,BALL VLV 2" 300# FLGD END BODY A216 WCB TRIM SS316,Valves,NOS,Mathura-Refinery
MAT-005,GAIL,GI PIPE 50MM DIA CL-B CONFORMING TO IS:1239,Piping,MTRS,Noida-Central
MAT-006,SAIL,CU BUSBAR 50X10MM ELEC GRADE 99.9% PURITY,Electrical,KGS,Bhilai-Plant-3
MAT-007,NTPC,DEEP GROOVE BALL BRG. NO. 6205-2RS1/C3,Bearings,PCS,Ramagundam-Store
MAT-008,ONGC,GASKET SPIRAL WOUND 3" 600# HOOP SS316,Gaskets,NOS,Hazira-Plant
MAT-009,BHEL,COPPER CABLE 4 CORE 4SQMM XLPE INSULATED 1.1KV,Electrical,MTRS,Haridwar-Div-2
MAT-010,IOCL,STAINLESS STEEL HEX NUT M12X1.75 MM,Fasteners,NOS,Panipat-Store
